session_id,genderidentity,raceomb_002,D_biep.White_Good_all,Mn_RT_all_3467,edu,politicalid_7,STATE,att_7,tblacks_0to10,twhites_0to10,labels
2631941104.0,[2],8.0,0.08874816099999999,668.525,3.0,7.0,CT,4.0,5.0,5.0,2.0
2631941114.0,[1],6.0,1.037845071,1218.258333,5.0,6.0,,4.0,9.0,9.0,2.0
2631941118.0,[2],6.0,0.307487468,1004.741667,9.0,6.0,IN,4.0,8.0,8.0,1.0
2631941123.0,[2],6.0,0.021007438,1552.791667,9.0,6.0,MI,5.0,8.0,9.0,2.0
2631941186.0,[2],6.0,0.156092292,890.6166667000001,3.0,6.0,ME,4.0,10.0,10.0,2.0
2631941193.0,[1],6.0,0.826450866,892.35,3.0,7.0,ME,4.0,9.0,9.0,1.0
2631941195.0,[1],6.0,1.042489477,737.7,3.0,6.0,ME,4.0,8.0,8.0,1.0
2631941197.0,[1],6.0,0.864148067,902.025,3.0,4.0,ME,5.0,8.0,8.0,2.0
2631941198.0,[2],6.0,0.154380667,830.35,3.0,1.0,ME,4.0,5.0,5.0,1.0
2631941199.0,[1],6.0,0.508211662,1023.675,3.0,6.0,ME,4.0,6.0,6.0,2.0
2631941200.0,[2],6.0,0.7859953190000001,747.95,3.0,4.0,ME,4.0,4.0,6.0,2.0
2631941201.0,[1],6.0,0.37307268,1099.375,3.0,6.0,ME,4.0,10.0,10.0,1.0
2631941202.0,[2],6.0,-0.338910534,812.6833333,3.0,7.0,ME,3.0,8.0,8.0,1.0
2631941203.0,[2],6.0,0.3768418120000001,1418.175,3.0,1.0,ME,4.0,10.0,10.0,2.0
2631941204.0,[2],6.0,0.390333054,806.7083332999997,2.0,5.0,ME,4.0,9.0,9.0,1.0
2631941207.0,[2],6.0,0.516113774,705.5833332999997,3.0,4.0,ME,4.0,9.0,9.0,1.0
2631941211.0,[2],6.0,0.073438672,1363.558333,3.0,,,4.0,5.0,5.0,1.0
2631941231.0,[2],6.0,0.093445241,841.525,3.0,,,4.0,10.0,10.0,1.0
2631941250.0,[2],6.0,1.2759393620000001,1033.341667,11.0,6.0,NY,4.0,5.0,5.0,1.0
2631941268.0,[2],6.0,0.133306653,82852.08333,3.0,5.0,ME,4.0,10.0,10.0,1.0
2631941282.0,[2],6.0,-0.18743440600000005,1063.225,3.0,6.0,,4.0,9.0,9.0,1.0
2631941285.0,[1],6.0,-0.17846555,1036.4,3.0,4.0,ME,4.0,5.0,5.0,1.0
2631941358.0,[2],5.0,-0.573061603,2468.191667,7.0,4.0,IN,4.0,5.0,5.0,2.0
2631941384.0,[2],5.0,-0.05636343200000001,1445.883333,5.0,4.0,LA,4.0,5.0,5.0,1.0
